iteration,started_at_epoch,ended_at_epoch,duration_seconds,cpu_request,cpu_limit,memory_request,memory_limit,heap_mib,gc_type,java_opts,throughput,response_time_ms,error_rate_pct,cpu_usage_cores,cpu_request_cores,cpu_limit_cores,memory_usage_mib,memory_request_mib,memory_limit_mib,acceptable,objective_score,rollout_status,test_status,notes
0,1773460844.0372078,1773461155.9662971,311.929,200m,300m,180Mi,300Mi,512,UseSerialGC,-Xms512m -Xmx512m -XX:+UseSerialGC,95.56080568181818,521.3493559180445,0.0,0.04824829751741732,0.2,0.3,229.28125,180.0,300.0,True,300180425.78855026,success,success,
1,1773461155.9668045,1773461510.4217346,354.455,50m,400m,384Mi,512Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,97.42330181818183,514.7306428819609,0.0,0.05426524098308331,0.05,0.4,136.32421875,384.0,512.0,True,512384417.30734104,success,success,
2,1773461510.4222245,1773461864.797339,354.375,50m,500m,128Mi,512Mi,384,UseParallelGC,-Xms384m -Xmx384m -XX:+UseParallelGC,97.48266545454547,522.0496831698828,0.0,0.05287747598149684,0.05,0.5,194.390625,128.0,512.0,True,512128424.5670177,success,success,
3,1773461864.7978508,1773462219.3067346,354.509,50m,200m,128Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,96.87067098484846,528.4553465993444,0.0,0.05249990727767249,0.05,0.2,164.87890625,128.0,256.0,True,256128431.58467564,success,success,
4,1773462219.3072817,1773462573.7325087,354.425,50m,2000m,256Mi,512Mi,384,UseG1GC,-Xms384m -Xmx384m -XX:+UseG1GC,89.10909090909091,484.95156314822333,33.87036737380086,0.047344859884476065,0.05,2.0,276.1171875,256.0,512.0,False,inf,success,success,
5,1773462573.7330842,1773462928.2659187,354.533,650m,1800m,256Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,101.35652173913044,505.2024518310518,0.0,0.042923225034415126,0.65,1.8,123.25390625,256.0,256.0,True,256256403.8459301,success,success,
6,1773462928.2665544,1773463282.711957,354.445,550m,600m,256Mi,384Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,93.1148300757576,523.750488363107,0.0,0.04235887404393495,0.55,0.6,159.953125,256.0,384.0,True,384256430.63565826,success,success,
7,1773463282.7125666,1773463637.1185753,354.406,650m,700m,128Mi,384Mi,128,UseParallelGC,-Xms128m -Xmx128m -XX:+UseParallelGC,92.93006643939394,533.0829281156264,0.0,0.04218892261001517,0.65,0.7,127.08203125,128.0,384.0,True,384128440.15286165,success,success,
8,1773463637.119255,1773463991.4623816,354.343,250m,400m,384Mi,384Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,95.10668522727272,516.4364737287665,0.0,0.05210551863726736,0.25,0.4,160.796875,384.0,384.0,True,384384421.3297885,success,success,
9,1773463991.4631226,1773464345.8998559,354.437,850m,1500m,256Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,93.90975916666666,532.1326546094213,0.0,0.03854604269084254,0.85,1.5,161.90234375,256.0,256.0,True,256256438.22289544,success,success,
