iteration,started_at_epoch,ended_at_epoch,duration_seconds,cpu_request,cpu_limit,memory_request,memory_limit,heap_mib,gc_type,java_opts,throughput,response_time_ms,error_rate_pct,cpu_usage_cores,cpu_request_cores,cpu_limit_cores,memory_usage_mib,memory_request_mib,memory_limit_mib,acceptable,objective_score,rollout_status,test_status,notes
0,1773579631.62428,1773579944.602431,312.978,200m,300m,180Mi,300Mi,512,UseSerialGC,-Xms512m -Xmx512m -XX:+UseSerialGC,88.23700136363635,569.7058919366921,8.462171804958375,0.023475218449435568,0.2,0.3,233.703125,180.0,300.0,False,inf,success,success,
1,1773579944.6029994,1773580299.0477297,354.445,50m,400m,384Mi,512Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,98.6877427272727,515.5396326661993,0.0,0.04660309892729442,0.05,0.4,123.484375,384.0,512.0,True,512384416.85188997,success,success,
2,1773580299.048226,1773580652.4194036,353.371,50m,500m,128Mi,512Mi,384,UseParallelGC,-Xms384m -Xmx384m -XX:+UseParallelGC,102.94782608695652,494.4234395276954,0.0,0.04269420598915195,0.05,0.5,194.5625,128.0,512.0,True,512128391.4756134,success,success,
3,1773580652.4199436,1773581006.8424685,354.423,50m,200m,128Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,96.41668727272724,508.70228957252385,0.0,0.04343822383631927,0.05,0.2,163.73046875,128.0,256.0,True,256128412.2856023,success,success,
4,1773581006.8430595,1773581361.1661794,354.323,50m,2000m,256Mi,512Mi,384,UseG1GC,-Xms384m -Xmx384m -XX:+UseG1GC,100.80777780303029,481.8461957456553,0.0,0.0454738007447597,0.05,2.0,295.98046875,256.0,512.0,True,512256381.03841794,success,success,
5,1773581361.1666963,1773581714.5882225,353.422,650m,1800m,256Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,95.26791166666666,535.0510160706397,0.0,0.04015206456588034,0.65,1.8,123.08203125,256.0,256.0,True,256256439.7831044,success,success,
6,1773581714.5887992,1773582069.0237172,354.435,550m,600m,256Mi,384Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,100.59565772727274,504.34950259678,0.0,0.03541892138359154,0.55,0.6,160.4140625,256.0,384.0,True,384256403.7538449,success,success,
7,1773582069.0243788,1773582422.3710628,353.347,650m,700m,128Mi,384Mi,128,UseParallelGC,-Xms128m -Xmx128m -XX:+UseParallelGC,98.29308800639984,540.868318737773,0.0,0.047836904338121385,0.65,0.7,127.73046875,128.0,384.0,True,384128442.5752307,success,success,
8,1773582422.3717365,1773582776.7983048,354.427,250m,400m,384Mi,384Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,98.01380363636362,497.2329010626366,0.0,0.040408166036774225,0.25,0.4,160.05078125,384.0,384.0,True,384384399.2190974,success,success,
9,1773582776.7990096,1773583131.1710904,354.372,850m,1500m,256Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,94.96837303030303,527.6322110078522,0.0,0.04050261109925887,0.85,1.5,162.84375,256.0,256.0,True,256256432.66383797,success,success,
10,1773583131.1718113,1773583773.3535511,642.182,950m,1000m,384Mi,384Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,,,,0.0016173272799476248,0.95,1.0,97.7578125,384.0,384.0,False,inf,success,failed,JMeter failure: Command timed out after 600s: ./scripts/run_jmeter.sh
11,1773583773.3543856,1773584159.4442708,386.09,50m,300m,256Mi,512Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,100.0393612878788,504.45848355641766,0.0,0.04825290031639816,0.05,0.3,160.83203125,256.0,512.0,True,512256404.4191223,success,success,
12,1773584159.4450886,1773584513.7373397,354.292,150m,800m,256Mi,384Mi,256,UseG1GC,-Xms256m -Xmx256m -XX:+UseG1GC,100.97272727272727,523.3122051834971,0.0,0.04989043952355282,0.15,0.8,232.15625,256.0,384.0,True,384256422.3394779,success,success,
13,1773584513.7381914,1773584868.1425045,354.404,250m,1200m,256Mi,384Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,98.83478260869566,531.0258240106125,0.0,0.04020229209648621,0.25,1.2,162.65625,256.0,384.0,True,384256432.1910414,success,success,
14,1773584868.143422,1773585222.5648088,354.421,150m,900m,256Mi,512Mi,384,UseG1GC,-Xms384m -Xmx384m -XX:+UseG1GC,96.77720462121212,498.30328699067223,0.0,0.04317792499495013,0.15,0.9,284.89453125,256.0,512.0,True,512256401.52608234,success,success,
15,1773585222.5657032,1773585577.0180655,354.452,250m,800m,256Mi,384Mi,256,UseG1GC,-Xms256m -Xmx256m -XX:+UseG1GC,93.1506481818182,530.7217317954702,0.0,0.040598128491314764,0.25,0.8,215.12890625,256.0,384.0,True,384256437.5710836,success,success,
